Model,DPO2012B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.01,0.1
Label,,
TIME,CH1,CH2
-1.99373e-02,0.0515578,0.322109
-1.99370e-02,0.0513437,0.327672
-1.99366e-02,0.0514266,0.323453
-1.99363e-02,0.0518187,0.324578
-1.99360e-02,0.0522641,0.327641
-1.99357e-02,0.0516547,0.324656
-1.99354e-02,0.0519516,0.326016
-1.99350e-02,0.0517734,0.326453
-1.99347e-02,0.0515922,0.321672
-1.99344e-02,0.0518594,0.325734
-1.99341e-02,0.0512469,0.323734
-1.99338e-02,0.051125,0.325781
-1.99334e-02,0.0516422,0.322266
-1.99331e-02,0.0517,0.327234
-1.99328e-02,0.0513016,0.320625
-1.99325e-02,0.052075,0.321891
-1.99322e-02,0.0517484,0.326578
-1.99318e-02,0.0516859,0.322328
-1.99315e-02,0.0516172,0.326547
-1.99312e-02,0.052025,0.324609
-1.99309e-02,0.0516016,0.324031
-1.99306e-02,0.0516609,0.324609
-1.99302e-02,0.0514266,0.325188
-1.99299e-02,0.0516469,0.326094
-1.99296e-02,0.0521875,0.323953
-1.99293e-02,0.0513031,0.326781
-1.99290e-02,0.0518078,0.322516
-1.99286e-02,0.0515547,0.327094
-1.99283e-02,0.0518578,0.324547
-1.99280e-02,0.0515203,0.325094
-1.99277e-02,0.0516484,0.328594
-1.99274e-02,0.0515484,0.324891
-1.99270e-02,0.0514047,0.328453
-1.99267e-02,0.0516141,0.325281
-1.99264e-02,0.0515594,0.324875
-1.99261e-02,0.0512266,0.32375
-1.99258e-02,0.0515281,0.330531
-1.99254e-02,0.0510969,0.323641
-1.99251e-02,0.0512922,0.326422
-1.99248e-02,0.0514594,0.327859
-1.99245e-02,0.0516203,0.322844
-1.99242e-02,0.0515781,0.327531
-1.99238e-02,0.0519125,0.325375
-1.99235e-02,0.0517219,0.324469
-1.99232e-02,0.0510812,0.327063
-1.99229e-02,0.0518562,0.324703
-1.99226e-02,0.0512625,0.326203
-1.99222e-02,0.05185,0.324578
-1.99219e-02,0.0514609,0.327281
-1.99216e-02,0.0516187,0.32375
-1.99213e-02,0.0519641,0.326141
-1.99210e-02,0.0515187,0.324156
-1.99206e-02,0.0514906,0.324219
-1.99203e-02,0.05185,0.327484
-1.99200e-02,0.0520109,0.324453
-1.99197e-02,0.0515719,0.319719
-1.99194e-02,0.0515562,0.324922
-1.99190e-02,0.0517391,0.321578
-1.99187e-02,0.0516516,0.327484
-1.99184e-02,0.0517656,0.323016
-1.99181e-02,0.0519219,0.322594
-1.99178e-02,0.0513453,0.322781
-1.99174e-02,0.0514344,0.323234
-1.99171e-02,0.0516172,0.324219
-1.99168e-02,0.0516453,0.324297
-1.99165e-02,0.0512922,0.323703
-1.99162e-02,0.0518312,0.321672
-1.99158e-02,0.0513281,0.323016
-1.99155e-02,0.0515437,0.327688
-1.99152e-02,0.0518984,0.322531
-1.99149e-02,0.0516031,0.326969
-1.99146e-02,0.0515031,0.324297
-1.99142e-02,0.0518094,0.323891
-1.99139e-02,0.0514812,0.325688
-1.99136e-02,0.0513562,0.326141
-1.99133e-02,0.051425,0.323625
-1.99130e-02,0.0510828,0.328172
-1.99126e-02,0.0515047,0.324078
-1.99123e-02,0.0518937,0.326953
-1.99120e-02,0.0515797,0.327453
-1.99117e-02,0.0520281,0.3245
-1.99114e-02,0.0516156,0.325359
-1.99110e-02,0.0516453,0.329344
-1.99107e-02,0.051525,0.325656
-1.99104e-02,0.0516422,0.325844
-1.99101e-02,0.0517203,0.327516
-1.99098e-02,0.0511047,0.326109
-1.99094e-02,0.0522094,0.3255
-1.99091e-02,0.0515812,0.323422
-1.99088e-02,0.0518328,0.322594
-1.99085e-02,0.0515766,0.328969
-1.99082e-02,0.0518266,0.324719
-1.99078e-02,0.0517984,0.325703
-1.99075e-02,0.0516781,0.326469
-1.99072e-02,0.0517547,0.324391
-1.99069e-02,0.0516094,0.328391
-1.99066e-02,0.0518516,0.323609
-1.99062e-02,0.0516594,0.322578
-1.99059e-02,0.0519625,0.327297
-1.99056e-02,0.0520844,0.326078
-1.99053e-02,0.0516109,0.324531
-1.99050e-02,0.051975,0.323234
-1.99046e-02,0.0515562,0.325906
-1.99043e-02,0.0519469,0.322031
-1.99040e-02,0.0511109,0.325016
-1.99037e-02,0.0514969,0.324891
-1.99034e-02,0.051525,0.321438
-1.99030e-02,0.0510562,0.326063
-1.99027e-02,0.0515891,0.32425
-1.99024e-02,0.0512969,0.321234
-1.99021e-02,0.0518219,0.3215
-1.99018e-02,0.0510422,0.324844
-1.99014e-02,0.0512344,0.324719
-1.99011e-02,0.0516437,0.322906
-1.99008e-02,0.0516062,0.323578
-1.99005e-02,0.0511672,0.321469
-1.99002e-02,0.0513297,0.328656
-1.98998e-02,0.0515641,0.322688
-1.98995e-02,0.0519172,0.321578
-1.98992e-02,0.0519484,0.324734
-1.98989e-02,0.0514219,0.322391
-1.98986e-02,0.0516891,0.328359
-1.98982e-02,0.0513516,0.326484
-1.98979e-02,0.0515953,0.327906
-1.98976e-02,0.051625,0.322547
-1.98973e-02,0.0515422,0.325609
-1.98970e-02,0.0514625,0.324938
-1.98966e-02,0.0515516,0.3245
-1.98963e-02,0.0519219,0.327313
-1.98960e-02,0.052125,0.325172
-1.98957e-02,0.0514203,0.324734
-1.98954e-02,0.0518141,0.328484
-1.98950e-02,0.0515078,0.321984
-1.98947e-02,0.0516391,0.329375
-1.98944e-02,0.0517562,0.327375
-1.98941e-02,0.0516125,0.326016
-1.98938e-02,0.051425,0.325797
-1.98934e-02,0.051575,0.327953
-1.98931e-02,0.051725,0.326234
-1.98928e-02,0.0517687,0.325016
-1.98925e-02,0.0513578,0.327281
-1.98922e-02,0.0515516,0.321531
-1.98918e-02,0.0511281,0.329313
-1.98915e-02,0.0516891,0.32
-1.98912e-02,0.0516937,0.323547
-1.98909e-02,0.0517656,0.323953
-1.98906e-02,0.0515328,0.322672
-1.98902e-02,0.0516547,0.324844
-1.98899e-02,0.0515406,0.323656
-1.98896e-02,0.0515312,0.323391
-1.98893e-02,0.0518297,0.324641
-1.98890e-02,0.0515734,0.321125
-1.98886e-02,0.0513234,0.323359
-1.98883e-02,0.0517547,0.323141
-1.98880e-02,0.0519656,0.323406
-1.98877e-02,0.0515969,0.322219
-1.98874e-02,0.0518953,0.322922
-1.98870e-02,0.0513953,0.322531
-1.98867e-02,0.0513312,0.322469
-1.98864e-02,0.0515234,0.326328
-1.98861e-02,0.0517953,0.321438
-1.98858e-02,0.0512047,0.324219
-1.98854e-02,0.0518859,0.322078
-1.98851e-02,0.0517641,0.324
-1.98848e-02,0.0517578,0.325172
-1.98845e-02,0.0518672,0.325469
-1.98842e-02,0.0520031,0.3265
-1.98838e-02,0.0520547,0.321969
-1.98835e-02,0.0511547,0.327516
-1.98832e-02,0.0518453,0.323078
-1.98829e-02,0.0516047,0.326719
-1.98826e-02,0.0519875,0.327531
-1.98822e-02,0.0512484,0.32125
-1.98819e-02,0.0518234,0.329078
-1.98816e-02,0.0519844,0.325156
-1.98813e-02,0.0514641,0.328234
-1.98810e-02,0.0518437,0.325094
-1.98806e-02,0.0515391,0.327188
-1.98803e-02,0.0517078,0.323063
-1.98800e-02,0.0520359,0.326844
-1.98797e-02,0.0517172,0.326281
-1.98794e-02,0.0519531,0.327219
-1.98790e-02,0.0517516,0.325406
-1.98787e-02,0.0518141,0.326234
-1.98784e-02,0.0515031,0.324609
-1.98781e-02,0.0514062,0.3295
-1.98778e-02,0.0519266,0.324031
-1.98774e-02,0.0517641,0.326188
-1.98771e-02,0.0514984,0.326984
-1.98768e-02,0.0513078,0.327656
-1.98765e-02,0.0513953,0.324188
-1.98762e-02,0.0514203,0.324875
-1.98758e-02,0.0516844,0.322469
-1.98755e-02,0.0514062,0.325391
-1.98752e-02,0.0517859,0.324438
-1.98749e-02,0.0514922,0.321406
-1.98746e-02,0.0516906,0.329313
-1.98742e-02,0.0513297,0.325938
-1.98739e-02,0.0518875,0.319156
-1.98736e-02,0.0514016,0.326281
-1.98733e-02,0.0516594,0.320125
-1.98730e-02,0.0515656,0.324078
-1.98726e-02,0.0514766,0.323047
