4613.398	0.084	0.172	0.392
4623.270	0.076	0.588	3.390
4638.094	0.300	0.268	5.016
4655.940	0.076	0.572	1.310
4660.849	0.100	0.692	0.424
4698.185	0.812	0.436	1.966
4714.530	0.132	0.156	0.462
4716.390	0.076	0.084	2.430
4732.789	0.084	0.108	6.262
4741.140	0.084	0.196	1.694
4743.479	0.124	0.412	0.374
4757.338	0.092	0.196	0.340
4766.164	0.148	0.268	0.322
4789.019	0.100	0.084	15.092
4815.892	0.108	0.508	4.444
4833.725	0.084	0.652	3.520
4835.594	0.084	0.228	0.258
4885.049	0.084	0.188	12.568
4891.025	0.076	0.484	0.252
4904.939	0.092	0.124	0.362
4920.277	0.236	0.116	2.044
4937.667	0.084	0.196	2.408
4949.531	0.084	0.692	0.622
4954.381	0.092	0.308	0.234
4966.230	0.084	0.676	0.274
4990.082	1.380	0.332	3.670
5005.417	0.084	0.388	0.332
5011.775	0.252	0.676	0.808
5021.160	0.076	0.452	0.508
5023.541	0.180	0.116	7.806
5034.371	0.092	1.372	0.238
5042.711	0.100	0.500	0.316
5064.578	0.140	0.204	0.238
5071.420	0.140	0.692	0.288
5092.776	0.476	0.140	3.112
5113.118	0.364	0.660	2.222
5120.468	0.116	1.772	0.318
5124.335	0.140	0.284	0.928
5134.725	0.316	0.164	2.232
5141.616	0.276	0.276	0.536
5153.494	0.460	0.204	0.724
5159.367	0.100	0.676	3.180
5189.742	0.100	0.148	0.264
5201.080	0.100	0.116	0.102
5216.050	0.140	0.396	1.656
5217.925	0.148	0.388	0.466
5228.282	0.324	0.292	4.698
5244.131	0.500	0.356	0.400
5248.150	0.236	0.076	1.808
5273.578	0.228	0.316	15.480
5275.444	0.092	0.188	0.270
5282.356	0.060	0.484	0.222
5285.732	0.076	0.316	2.672
5292.656	0.380	0.804	0.090
5301.514	0.092	0.124	0.256
5324.860	0.492	0.356	0.698
5328.717	0.068	0.516	0.384
5367.664	0.108	0.844	0.358
5382.526	0.084	0.140	12.028
5428.406	0.132	0.132	0.360
5437.296	0.140	0.228	4.928
5458.779	0.124	0.268	0.292
5465.738	0.236	0.916	2.342
5513.855	0.164	0.228	6.136
5527.814	0.100	0.300	0.242
5570.322	0.100	0.292	0.340
5575.179	0.164	0.284	0.648
5600.044	0.116	0.612	1.052
5612.915	0.092	0.268	0.450
5618.848	0.076	0.124	7.404
5622.277	0.076	0.100	0.248
5649.661	0.604	0.100	0.858
5662.510	0.116	0.084	4.134
5669.878	0.404	0.748	0.158
5712.882	0.076	0.164	0.868
5731.809	0.092	0.468	0.258
5736.689	0.076	0.212	0.818
5754.037	0.324	0.164	3.772
5762.501	0.068	0.212	1.810
5766.849	0.108	0.124	0.256
5776.208	0.612	0.324	2.016
5783.768	0.132	0.364	0.112
5797.626	0.076	0.100	0.514
5800.565	0.132	0.084	0.336
5805.479	0.188	0.140	0.922
5816.889	0.076	0.468	0.308
5821.745	0.076	0.164	0.918
5834.078	0.596	0.332	9.590
5846.980	0.076	0.556	0.496
5863.373	0.108	0.076	0.380
5883.216	0.148	0.492	5.188
5886.579	0.076	0.444	1.064
5891.917	0.084	0.524	0.426
5895.836	0.076	0.100	0.180
5899.180	0.412	0.516	1.234
5903.525	0.084	0.852	1.904
5909.860	0.140	0.244	0.476
5913.426	0.084	0.100	0.318
5922.880	0.084	0.220	0.230
5926.245	0.100	0.396	0.430
5929.088	0.508	0.636	1.342
5938.030	0.220	0.156	0.610
5955.878	0.084	0.380	0.708
5972.740	0.076	0.268	2.412
5974.597	0.140	0.452	1.430
6006.478	0.532	0.548	1.524
6014.411	0.076	0.244	0.670
6041.249	0.068	0.340	0.444
6052.681	0.140	1.428	0.444
6065.025	0.092	0.308	1.538
6082.424	0.596	0.292	0.622
6090.780	0.188	0.428	1.884
6102.108	0.092	0.228	0.102
6141.007	0.188	0.364	1.998
6148.846	0.076	0.516	10.770
6151.725	1.492	0.468	2.156
6179.552	0.244	0.148	2.596
6181.384	0.116	0.644	2.000
6192.736	0.140	0.180	0.562
6204.076	0.068	0.316	0.490
6212.413	0.164	0.676	0.294
6223.816	0.100	0.404	0.264
6255.655	0.140	0.420	14.936
6272.128	0.108	0.164	0.396
6282.496	0.084	0.188	0.290
6317.376	0.140	0.468	0.318
6351.243	0.212	0.668	0.990
6354.087	0.156	0.076	0.468
6368.424	0.068	0.236	0.478
6374.806	0.476	0.260	5.802
6381.225	0.100	0.428	4.402
6384.690	0.068	0.188	3.576
6391.667	0.116	0.084	0.304
6396.015	0.076	0.204	0.254
6414.991	0.060	0.076	14.290
6422.348	0.108	0.316	2.002
6454.217	0.076	0.236	0.260
6553.614	0.148	0.124	0.482
6561.017	0.084	0.220	1.642
6569.011	0.084	0.620	0.264
6587.389	0.132	0.212	0.244
6596.805	0.100	0.420	3.426
6602.130	0.140	0.836	0.546
6608.459	0.076	0.124	0.464
6610.306	0.084	0.252	0.268
6615.137	0.132	0.220	0.366
6629.500	0.580	0.436	7.206
6637.829	0.084	0.580	0.292
6639.735	0.260	0.140	4.686
6658.574	0.084	0.204	11.122
6673.428	0.100	0.124	0.358
6699.796	0.068	0.244	0.390
6711.134	0.236	0.084	9.410
6714.569	0.244	0.036	6.724
6731.523	0.140	0.196	0.320
6739.462	0.140	0.180	0.890
6763.305	0.084	0.380	5.348
6769.644	0.132	0.092	0.432
6773.567	0.108	0.092	16.520
6797.428	0.204	0.508	3.440
6799.265	0.076	0.140	0.264
6804.643	0.084	0.484	0.260
6815.511	0.076	0.228	0.234
6817.351	0.100	0.196	0.322
6828.696	0.100	0.124	0.210
6868.020	0.092	0.124	0.136
6872.849	0.148	0.092	10.564
6876.378	0.076	0.484	0.254
6882.809	0.092	0.540	0.228
6899.650	0.076	1.636	1.144
6911.641	0.084	0.204	0.664
6928.528	0.084	0.236	0.390
6975.484	0.132	0.196	0.322
6977.840	0.108	0.740	0.350
6982.293	0.100	0.500	0.332
6988.644	0.212	0.108	4.110
7009.999	0.068	0.060	0.420
7020.316	0.164	0.532	10.910
7031.791	0.084	0.148	0.254
