Data run started at:  Thursday, October 19, 2017	3:30:23 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
8.173355	0.759133	0.545927	214.816000
8.194762	0.762366	0.547500	215.317000
8.215993	0.763465	0.549107	215.816000
8.235960	0.763246	0.550785	216.317000
8.255039	0.761533	0.552484	216.816000
8.275129	0.758397	0.554207	217.316000
8.298573	0.753508	0.555815	217.816000
8.319412	0.746824	0.557572	218.316000
8.339708	0.739151	0.559335	218.817000
8.359551	0.730506	0.561134	219.316000
8.380655	0.720667	0.562930	219.816000
8.402121	0.709622	0.564666	220.316000
8.423300	0.697185	0.566605	220.816000
8.442864	0.684093	0.568614	221.316000
8.462914	0.670430	0.570671	221.817000
8.484288	0.656118	0.572658	222.316000
8.504950	0.641285	0.574617	222.816000
8.525725	0.625559	0.576740	223.316000
8.546411	0.609299	0.578912	223.816000
8.566875	0.592602	0.580986	224.317000
8.586546	0.575568	0.583054	224.816000
8.606667	0.558029	0.585257	225.317000
8.627035	0.539981	0.587389	225.816000
8.647329	0.521199	0.589451	226.317000
8.668241	0.502524	0.591545	226.816000
8.689089	0.483877	0.593568	227.316000
8.710086	0.465044	0.595610	227.816000
8.729283	0.446194	0.597566	228.316000
8.749634	0.427215	0.599513	228.816000
8.768416	0.407981	0.601483	229.316000
8.790451	0.388860	0.603559	229.817000
8.811357	0.369844	0.605894	230.316000
8.832275	0.351004	0.608001	230.816000
8.851417	0.332507	0.609804	231.316000
8.871326	0.314314	0.611473	231.817000
8.890848	0.296288	0.612949	232.316000
8.910648	0.278824	0.614375	232.816000
8.930639	0.261822	0.615596	233.316000
8.950903	0.245653	0.616614	233.817000
8.972253	0.230882	0.617423	234.317000
8.992509	0.218135	0.618096	234.816000
9.012695	0.207611	0.618577	235.316000
9.031832	0.199546	0.618816	235.816000
9.052444	0.194501	0.619052	236.316000
9.072705	0.192851	0.619435	236.816000
9.094461	0.194471	0.619878	237.316000
9.115057	0.199508	0.620124	237.816000
9.135109	0.207800	0.620193	238.316000
9.155487	0.219001	0.620200	238.816000
9.177154	0.233030	0.620364	239.316000
9.198117	0.249817	0.620558	239.816000
9.218127	0.269425	0.620696	240.316000
9.238642	0.292118	0.620893	240.817000
9.258828	0.317352	0.621117	241.316000
9.279407	0.344948	0.621548	241.817000
9.300154	0.374245	0.622092	242.316000
9.320267	0.405220	0.622784	242.816000
9.341779	0.437555	0.623472	243.316000
9.362395	0.470483	0.624147	243.817000
9.384589	0.503589	0.624849	244.316000
9.404993	0.536703	0.625504	244.816000
9.425989	0.570059	0.626064	245.316000
9.445887	0.603179	0.626793	245.816000
9.467595	0.635605	0.627743	246.316000
9.486980	0.667302	0.628950	246.816000
9.507338	0.698390	0.630309	247.316000
9.527355	0.728281	0.631620	247.816000
9.549456	0.756645	0.632782	248.316000
9.571808	0.783950	0.633912	248.816000
9.593597	0.810188	0.635223	249.316000
9.613202	0.835199	0.636471	249.816000
9.633926	0.858309	0.637882	250.316000
9.654539	0.880316	0.639311	250.817000
9.675964	0.901116	0.640603	251.316000
9.697349	0.920774	0.641939	251.816000
9.718083	0.939495	0.643256	252.316000
9.740708	0.956774	0.644658	252.816000
9.761622	0.972580	0.646039	253.316000
9.783040	0.987230	0.647588	253.816000
9.803433	1.001065	0.649102	254.316000
9.823383	1.013919	0.650468	254.816000
9.844505	1.025313	0.651959	255.317000
9.865975	1.035593	0.653500	255.816000
9.888305	1.044825	0.655182	256.316000
9.907991	1.052856	0.656781	256.816000
9.928485	1.059990	0.658306	257.317000
9.947459	1.066257	0.659794	257.816000
9.968954	1.071147	0.661336	258.316000
9.988370	1.074923	0.662989	258.816000
10.008380	1.077560	0.664785	259.316000
10.028320	1.079133	0.666269	259.817000
10.048895	1.079612	0.667995	260.317000
10.070493	1.079457	0.669733	260.817000
10.091793	1.078214	0.671268	261.316000
10.111373	1.075900	0.672636	261.816000
10.131252	1.072688	0.674180	262.316000
10.151002	1.068441	0.675722	262.816000
10.169793	1.063242	0.677302	263.316000
10.189369	1.057517	0.679173	263.816000
10.208790	1.050816	0.681069	264.316000
10.228578	1.043218	0.682938	264.816000
10.248900	1.034517	0.684843	265.316000
10.269144	1.024921	0.686713	265.816000
10.289966	1.015142	0.688480	266.316000
10.310802	1.004809	0.690054	266.816000
10.330304	0.993532	0.691863	267.317000
10.349632	0.981713	0.693836	267.816000
10.369542	0.968857	0.695792	268.317000
10.387304	0.954920	0.697738	268.816000
10.408236	0.940657	0.699510	269.316000
10.430850	0.925819	0.701270	269.816000
10.449011	0.910439	0.703096	270.316000
10.470179	0.894965	0.704822	270.816000
10.490825	0.878952	0.706710	271.316000
10.508638	0.862468	0.708646	271.816000
10.528827	0.845674	0.710462	272.316000
10.551011	0.828567	0.712253	272.816000
10.571555	0.811262	0.714191	273.316000
10.591487	0.793463	0.716235	273.817000
10.610208	0.775410	0.718378	274.316000
10.629808	0.757520	0.720546	274.817000
10.651936	0.739755	0.722690	275.316000
10.670965	0.721878	0.724760	275.816000
10.690645	0.703753	0.726736	276.317000
10.710827	0.685238	0.728673	276.816000
10.733239	0.666133	0.730763	277.317000
10.751625	0.646605	0.733046	277.816000
10.772663	0.627009	0.735298	278.317000
10.790581	0.607084	0.737497	278.816000
10.807191	0.586922	0.739796	279.316000
10.824989	0.566692	0.741952	279.816000
10.847344	0.546512	0.744111	280.316000
10.868791	0.526206	0.746266	280.816000
10.886726	0.505985	0.748335	281.316000
10.909115	0.485726	0.750280	281.817000
10.930732	0.465296	0.752267	282.316000
10.949403	0.444694	0.754336	282.817000
10.968192	0.424263	0.756383	283.316000
10.985494	0.404521	0.758392	283.816000
11.005642	0.384831	0.760217	284.316000
11.026211	0.365149	0.761830	284.816000
11.059283	0.345695	0.763462	285.316000
11.076286	0.326201	0.765094	285.816000
11.087304	0.306681	0.766342	286.316000
11.102818	0.287174	0.767191	286.816000
