Data run started at:  Tuesday, October 10, 2017	4:39:42 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
4.630497	0.586503	0.108768	119.236000
4.651769	0.585585	0.109221	119.736000
4.673287	0.585085	0.109495	120.236000
4.695017	0.584720	0.109900	120.736000
4.717216	0.584863	0.110196	121.236000
4.738399	0.584819	0.110837	121.736000
4.761798	0.584898	0.111288	122.236000
4.783320	0.585457	0.111707	122.736000
4.804488	0.585309	0.112137	123.236000
4.825602	0.585268	0.112738	123.736000
4.846524	0.585605	0.113210	124.236000
4.869234	0.585817	0.113607	124.736000
4.892782	0.585706	0.114199	125.236000
4.914137	0.585456	0.114988	125.736000
4.935865	0.585736	0.114946	126.236000
4.957959	0.586091	0.115284	126.736000
4.979861	0.586395	0.116058	127.236000
5.002521	0.586833	0.116594	127.736000
5.025240	0.586825	0.117209	128.236000
5.046312	0.586591	0.117834	128.736000
5.068230	0.586777	0.118460	129.236000
5.089719	0.585865	0.118989	129.736000
5.111963	0.584896	0.119572	130.236000
5.134281	0.584570	0.120177	130.736000
5.157244	0.584172	0.120779	131.236000
5.180405	0.583731	0.121318	131.736000
5.201453	0.582668	0.121809	132.236000
5.222260	0.581962	0.122237	132.736000
5.243795	0.581962	0.122754	133.236000
5.263470	0.582163	0.122944	133.736000
5.285051	0.582635	0.123194	134.237000
5.307859	0.583708	0.123805	134.736000
5.328884	0.585151	0.124272	135.236000
5.351377	0.586720	0.124547	135.736000
5.369939	0.588343	0.125118	136.236000
5.392493	0.590458	0.126067	136.737000
5.412999	0.593449	0.126735	137.236000
5.434274	0.595714	0.127366	137.736000
5.459250	0.597247	0.127571	138.236000
5.484335	0.598632	0.128146	138.736000
5.508023	0.599184	0.128732	139.236000
5.528867	0.599428	0.129284	139.736000
5.550698	0.598795	0.129557	140.236000
5.573838	0.597292	0.130140	140.736000
5.597159	0.596223	0.130733	141.236000
5.618262	0.594927	0.131199	141.736000
5.640479	0.593708	0.131612	142.236000
5.660620	0.592983	0.131858	142.736000
5.682294	0.592406	0.132437	143.236000
5.703900	0.592127	0.132685	143.736000
5.727587	0.591789	0.133283	144.237000
5.750480	0.590814	0.134080	144.736000
5.773311	0.589291	0.134865	145.236000
5.794273	0.588056	0.135652	145.736000
5.818682	0.587120	0.135890	146.236000
5.840224	0.585939	0.136396	146.736000
5.862128	0.585092	0.137033	147.236000
5.882740	0.585541	0.137521	147.736000
5.902029	0.586956	0.137990	148.236000
5.924380	0.589289	0.138641	148.736000
5.946764	0.592156	0.139388	149.236000
5.968292	0.595325	0.139612	149.737000
5.989605	0.598837	0.139800	150.236000
6.012438	0.602659	0.140031	150.736000
6.034713	0.606043	0.140494	151.236000
6.055230	0.609128	0.141214	151.736000
6.079391	0.611794	0.142087	152.236000
6.102263	0.614136	0.142612	152.736000
6.120037	0.616547	0.142994	153.236000
6.140540	0.618574	0.143333	153.736000
6.167264	0.620010	0.143806	154.236000
6.187118	0.621218	0.144399	154.736000
6.206767	0.622578	0.144928	155.236000
6.229084	0.623580	0.145537	155.736000
6.253167	0.624514	0.146199	156.236000
6.275072	0.625076	0.146612	156.736000
6.298517	0.625398	0.147118	157.236000
6.319400	0.625491	0.147643	157.736000
6.339326	0.624997	0.148316	158.236000
6.360833	0.624380	0.148752	158.736000
6.380957	0.622919	0.149000	159.236000
6.402963	0.620557	0.149267	159.736000
6.428311	0.618006	0.149577	160.236000
6.449436	0.615505	0.150121	160.736000
6.469522	0.612593	0.150426	161.236000
6.491001	0.609872	0.151216	161.737000
6.511876	0.606876	0.152018	162.236000
6.540360	0.604160	0.152467	162.736000
6.560807	0.601752	0.152718	163.236000
6.580900	0.600035	0.152859	163.736000
6.601193	0.597981	0.153690	164.236000
6.621886	0.596447	0.154245	164.736000
6.644731	0.595969	0.154754	165.236000
6.666797	0.596703	0.155140	165.736000
6.687690	0.597677	0.155608	166.236000
6.710201	0.599223	0.156174	166.736000
6.730531	0.601314	0.156666	167.236000
6.752836	0.604250	0.157117	167.736000
6.774817	0.607949	0.157789	168.236000
6.795890	0.612090	0.157946	168.737000
6.817563	0.616836	0.158437	169.236000
6.839261	0.622594	0.158768	169.736000
6.862935	0.628303	0.159028	170.236000
6.884485	0.633769	0.159592	170.736000
6.905819	0.639481	0.160145	171.236000
6.926935	0.645754	0.160742	171.736000
6.950988	0.651726	0.161393	172.236000
6.973361	0.657439	0.162010	172.736000
6.995614	0.663011	0.162828	173.236000
7.017922	0.667572	0.163555	173.736000
7.039402	0.671738	0.163849	174.236000
7.061251	0.675858	0.164174	174.736000
7.084245	0.679340	0.164233	175.237000
7.105987	0.682729	0.164868	175.736000
7.128285	0.685522	0.165591	176.236000
7.150608	0.687698	0.166093	176.736000
7.171997	0.689004	0.166635	177.236000
7.194121	0.689407	0.167170	177.736000
7.217826	0.689863	0.167706	178.236000
7.241160	0.689461	0.168088	178.736000
7.262594	0.688596	0.168481	179.236000
7.283262	0.687096	0.169041	179.736000
7.304135	0.684771	0.169761	180.236000
7.325787	0.681609	0.170195	180.736000
7.349877	0.678308	0.170874	181.236000
7.371633	0.674538	0.171371	181.737000
7.393331	0.670383	0.171951	182.236000
7.415259	0.665683	0.172712	182.736000
7.436890	0.661179	0.173153	183.236000
7.459874	0.656337	0.173647	183.736000
7.483273	0.651734	0.173920	184.236000
7.505927	0.647571	0.174257	184.736000
7.527855	0.643189	0.174730	185.236000
7.550474	0.638597	0.175399	185.736000
7.572176	0.633814	0.175725	186.236000
7.596036	0.629958	0.176491	186.736000
7.619514	0.625846	0.177172	187.236000
7.641742	0.621673	0.177671	187.736000
7.663193	0.619139	0.178305	188.236000
7.684396	0.617153	0.179066	188.736000
7.707272	0.615646	0.179514	189.236000
7.730812	0.614999	0.179897	189.736000
7.752508	0.615200	0.180255	190.236000
7.773873	0.616301	0.180556	190.737000
7.796270	0.618676	0.180796	191.236000
7.819207	0.621742	0.181265	191.736000
7.841896	0.625789	0.182272	192.236000
7.864910	0.630588	0.183158	192.736000
7.886669	0.636616	0.183979	193.236000
7.908846	0.643331	0.184565	193.736000
7.931175	0.651327	0.184563	194.237000
7.953132	0.659814	0.184671	194.736000
7.975787	0.668558	0.184902	195.236000
7.999055	0.677979	0.185208	195.736000
8.020084	0.687594	0.185726	196.236000
8.041635	0.697030	0.186282	196.736000
8.063070	0.707390	0.186970	197.236000
8.084833	0.717823	0.187350	197.736000
8.107725	0.727727	0.187822	198.236000
8.129334	0.736918	0.188175	198.736000
8.150208	0.745883	0.188525	199.236000
8.171243	0.754700	0.189186	199.736000
8.191909	0.763096	0.189472	200.236000
8.214491	0.771180	0.189870	200.736000
8.236468	0.779236	0.190089	201.236000
8.260230	0.786392	0.190439	201.736000
8.281933	0.793242	0.191091	202.236000
8.302696	0.799923	0.191619	202.736000
8.323961	0.805338	0.192166	203.236000
8.345082	0.810306	0.192571	203.736000
8.368285	0.813980	0.193252	204.237000
8.391599	0.816829	0.193659	204.736000
8.414302	0.819292	0.194007	205.236000
8.436419	0.821003	0.194415	205.736000
8.458415	0.822069	0.195057	206.237000
8.481095	0.822799	0.195824	206.736000
8.506267	0.822381	0.196795	207.236000
8.528734	0.821316	0.197840	207.736000
8.551172	0.819735	0.198120	208.236000
8.572848	0.817410	0.198521	208.736000
8.597208	0.814419	0.199398	209.236000
8.621009	0.811326	0.199891	209.736000
8.642792	0.808065	0.200364	210.236000
8.663767	0.804030	0.200711	210.736000
8.685544	0.799220	0.201318	211.236000
8.709214	0.793952	0.202065	211.736000
8.734409	0.788368	0.202772	212.236000
8.756978	0.782455	0.203560	212.736000
8.780005	0.776592	0.204094	213.236000
8.803275	0.770121	0.204863	213.736000
8.827334	0.763007	0.205464	214.236000
8.849758	0.756388	0.205740	214.736000
8.871624	0.749565	0.206291	215.236000
8.894449	0.742268	0.206619	215.736000
8.916945	0.734793	0.206869	216.237000
8.940177	0.727014	0.207507	216.736000
8.961558	0.718918	0.208260	217.236000
8.982906	0.710934	0.208889	217.736000
9.004722	0.702750	0.209598	218.236000
9.025880	0.694913	0.210077	218.737000
9.048152	0.686763	0.210545	219.236000
9.071923	0.679328	0.211099	219.736000
9.094513	0.672988	0.211848	220.236000
9.115741	0.667103	0.212260	220.736000
9.137850	0.660882	0.212682	221.236000
9.159630	0.655914	0.213183	221.736000
9.181814	0.651282	0.213765	222.236000
9.204852	0.646895	0.214617	222.736000
9.227178	0.643323	0.214833	223.236000
