Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
4.471660	0.330665	0.296171	125.101000
4.493622	0.332575	0.297693	125.601000
4.514908	0.333280	0.299144	126.101000
4.534946	0.332797	0.300735	126.602000
4.555355	0.331139	0.302376	127.101000
4.576390	0.328428	0.303893	127.601000
4.597811	0.325145	0.305263	128.101000
4.620556	0.321576	0.306723	128.601000
4.640279	0.317602	0.308205	129.101000
4.661356	0.313346	0.309705	129.601000
4.681929	0.309206	0.311108	130.101000
4.702811	0.306103	0.312368	130.601000
4.723264	0.304188	0.313493	131.102000
4.743550	0.303599	0.314606	131.601000
4.763904	0.305080	0.315903	132.101000
4.785831	0.307736	0.317043	132.601000
4.807464	0.311543	0.318291	133.101000
4.828528	0.316302	0.319702	133.601000
4.849466	0.321318	0.321230	134.101000
4.871091	0.325741	0.322728	134.601000
4.892377	0.330373	0.323918	135.101000
4.913778	0.335192	0.325064	135.601000
4.934289	0.338690	0.326409	136.101000
4.954808	0.340572	0.327776	136.602000
4.975815	0.341497	0.329190	137.101000
4.997793	0.341673	0.330581	137.602000
5.019052	0.340120	0.331900	138.101000
5.039727	0.337298	0.333379	138.601000
5.060566	0.333470	0.334868	139.101000
5.081359	0.327946	0.336353	139.602000
5.103482	0.321727	0.337876	140.101000
5.123103	0.315422	0.339381	140.601000
5.143890	0.309454	0.340918	141.101000
5.164822	0.303947	0.342430	141.601000
5.185540	0.299400	0.343833	142.101000
5.206216	0.296231	0.345179	142.601000
5.227048	0.293601	0.346418	143.101000
5.247490	0.292989	0.347629	143.601000
5.269185	0.294587	0.348853	144.101000
5.287942	0.297735	0.350095	144.601000
5.309442	0.302049	0.351251	145.101000
5.328930	0.307315	0.352386	145.601000
5.349257	0.313804	0.353634	146.101000
5.370262	0.320629	0.354816	146.601000
5.393942	0.327360	0.355940	147.101000
5.417803	0.334087	0.357035	147.601000
5.437209	0.340821	0.358224	148.101000
5.456860	0.346679	0.359567	148.601000
5.479256	0.351927	0.361127	149.101000
5.498813	0.355995	0.362645	149.601000
5.520200	0.358911	0.364153	150.101000
5.540646	0.360426	0.365604	150.602000
5.560854	0.360610	0.367270	151.102000
5.580449	0.359549	0.368950	151.601000
5.600351	0.357350	0.370559	152.101000
5.619478	0.353829	0.372225	152.601000
5.640447	0.349224	0.373908	153.101000
5.663800	0.343872	0.375535	153.601000
5.686700	0.336949	0.377010	154.101000
5.704172	0.329801	0.378468	154.601000
5.724210	0.322396	0.379984	155.101000
5.746064	0.314550	0.381462	155.601000
5.765575	0.305967	0.382664	156.101000
5.785789	0.297906	0.383866	156.601000
5.804560	0.291435	0.385052	157.101000
5.822291	0.287015	0.386127	157.601000
5.843084	0.284283	0.387249	158.101000
5.864256	0.282853	0.388244	158.601000
5.883801	0.283302	0.389303	159.101000
5.901746	0.284941	0.390433	159.601000
5.923477	0.288675	0.391504	160.101000
5.945308	0.294247	0.392421	160.602000
5.963651	0.300590	0.393391	161.101000
5.986157	0.308456	0.394563	161.601000
6.007237	0.317213	0.395627	162.101000
6.028367	0.326520	0.396719	162.601000
6.044365	0.336421	0.397737	163.101000
6.065156	0.346128	0.398806	163.601000
6.089853	0.355653	0.400076	164.101000
6.106952	0.364911	0.401318	164.601000
6.124530	0.373690	0.402668	165.101000
6.145557	0.381396	0.403955	165.601000
6.166622	0.387854	0.405204	166.102000
6.186796	0.392917	0.406493	166.601000
6.207694	0.396011	0.407957	167.101000
